藏文	汉译	频次	出处	已入主表
འདི་ལྟར	如此	1	极广胜乘中观决定	
མཇུག་ཐོགས	无间	1	极广胜乘中观决定	
བསྙེན་བཀུར	承事	1	极广胜乘中观决定	是
འདྲ་བ	平等	1	极广胜乘中观决定	是
མཐོང་ལམ	离五怖畏	1	极广胜乘中观决定	是
འཇོག་པ	建立	1	极广胜乘中观决定	
ཐོས་པ	所闻	1	极广胜乘中观决定	是
དབང་བཅུ	业自在	1	极广胜乘中观决定	是
འཛམ་གླིང	世间	1	极广胜乘中观决定	
ཟིལ་གནོན	映复	1	极广胜乘中观决定	
རིགས་མཐུན	等流	1	极广胜乘中观决定	
འབུམ་ཕྲག	十万	1	极广胜乘中观决定	
ཁྲག་ཁྲིག	那由他	1	极广胜乘中观决定	
དེད་འདྲེན	婆喝那	1	极广胜乘中观决定	
ས་ཡ	百万	1	极广胜乘中观决定	
ཆོས་སྒོ	法门	1	极广胜乘中观决定	
རབ་བྱུང	出家	1	极广胜乘中观决定	
ཆོས་ཀྱི་ངོ་བོ	法自性	1	极广胜乘中观决定	
བདག་ལྟའི་བག་ཆགས	我见习气	1	极广胜乘中观决定	
ལྷག་བཅས	有余	1	极广胜乘中观决定	
བདེ་བ་ཅན	极乐世界	1	极广胜乘中观决定	
འོག་མིན	色究竟天	1	极广胜乘中观决定	
རབ་དགའ	极喜	1	极广胜乘中观决定	
སྒྲུབ་བྱེད	作事	1	极广胜乘中观决定	是
ཀུན་ཕན	利益	1	极广胜乘中观决定	
རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ	一切种智	1	极广胜乘中观决定	
གཞན་དོན	他利	1	极广胜乘中观决定	
འཛམ་གླིང	瞻部洲	1	极广胜乘中观决定	
བདེ་ཆེན	大乐	1	极广胜乘中观决定	
ཡེ་ཤེས་བཞི	四智	1	极广胜乘中观决定	
སྡེ་ཚན	部类	1	极广胜乘中观决定	
བྱང་ཆུབ་མཆོག	最胜菩提	1	极广胜乘中观决定	是
སྔོན་དུ་འགྲོ་བ	前导	1	极广胜乘中观决定	
ཆོ་འཕྲུལ་གསུམ	三种神变	1	极广胜乘中观决定	是
སྒྲ་བརྙན	回声	1	极广胜乘中观决定	是
གླེགས་བམ	经卷	1	极广胜乘中观决定	
བཀྲ་ཤིས	吉祥	1	极广胜乘中观决定	
ཟླ་ཟེར	月光	1	极广胜乘中观决定	
རླབས་ཆེན	广大	1	极广胜乘中观决定	
གཟུ་ལུམ	杜撰	1	宝性论大疏	
མཁྱེན་རབ	智慧	1	宝性论大疏	
སྐྱེས་བུ་མཆོག	大士	1	宝性论大疏	
འཇམ་པའི་དབྱངས	妙音	1	宝性论大疏	
ས་གསུམ	三地	1	宝性论大疏	
ཕྱག་འཚལ	顶礼	1	宝性论大疏	是
རྙེད་པ	难得	1	宝性论大疏	是
ཀུན་སྤྱོད	行为	1	宝性论大疏	
དལ་འབྱོར	暇满	1	宝性论大疏	
སྦྱོར་ལམ་དྲོད	加行道暖位	1	宝性论大疏	
ངེས་འབྱེད	加行道	1	宝性论大疏	
སྦས་དོན	隐义	1	宝性论大疏	
འགྲེལ་ཆེན	广注	1	宝性论大疏	
སེང་གེ	狮子	1	宝性论大疏	
ཤིན་ཏུ	等于	1	宝性论大疏	
བོད་སྐད	藏语	1	宝性论大疏	
རྒྱ་གར	印度	1	宝性论大疏	
བྱ་བ	行为	1	宝性论大疏	是
ཆེན་པོ་བདུན	所缘大	1	宝性论大疏	
ཀུན་རྫོབ་པ	世俗法	1	宝性论大疏	
རྒྱུ་འབྲས་ཀྱི་འབྲེལ་བ	因果相属	1	宝性论大疏	
སྐྱེད་བྱེད	之因	1	宝性论大疏	是
སྲིད་པ	生死流转	1	宝性论大疏	
ཞེ་ན	若说	1	宝性论大疏	是
དེ་འོག	以下	1	宝性论大疏	是
བརྗོད་དུ་མེད་པ	不可言说	1	宝性论大疏	
རང་མཚན	自相	1	宝性论大疏	
སྒོམ་བྱུང	修成	1	宝性论大疏	是
ལས་མ	而言	1	宝性论大疏	
དེ་དོན	因此	1	宝性论大疏	
ཕྱག་འཚལ་བ	礼拜	1	宝性论大疏	
ཉག་གཅིག	单独	1	宝性论大疏	
ལག་ལྡན	具手	1	宝性论大疏	
རྡོ་རྗེ་འཆང	金刚持	1	宝性论大疏	
མི་མཐུན་པ	不同	1	宝性论大疏	
མཛད་པ	所作	1	宝性论大疏	是
རྒྱས་བཤད	广说	1	宝性论大疏	
རྩ་ཚིག	正文	1	宝性论大疏	
ཞར་བྱུང	附带	1	宝性论大疏	
དབང་བཅུ	十自在	1	宝性论大疏	是
སངས་རྒྱས	觉者	1	宝性论大疏	是
གནས་པ	弟子	1	宝性论大疏	
སོ་སོ་ཡང་དག་པར་རིག་པ་བཞི	四无碍解	1	宝性论大疏	
ཆོས་ཀྱི་རྒྱལ་ཚབ	补处	1	宝性论大疏	
ཕྱི་མ	未来	1	宝性论大疏	是
དེ་མ་ཐག་ཏུ	随即	1	宝性论大疏	
དང་ལྡན་པ	具有	1	宝性论大疏	是
བར་སྣང	虚空	1	宝性论大疏	是
མེ་ཏོག་སིལ་མ	花瓣	1	宝性论大疏	
དཀྱིལ་འཁོར	庄严	1	宝性论大疏	
རིན་པོ་ཆེའི་ཏོག	宝顶	1	宝性论大疏	
ཨ་ཀ་རུ	沉香	1	宝性论大疏	
བཀྲམ་པ	散发	1	宝性论大疏	
གཞལ་མེད་ཁང	无量宫	1	宝性论大疏	
རྟ་བབས	牌坊	1	宝性论大疏	
ན་བཟའ	衣服	1	宝性论大疏	
བྱམས་པའི་སེམས	慈心	1	宝性论大疏	
རོལ་པ	游戏	1	宝性论大疏	是
རེ་རེ	一一	1	宝性论大疏	是
ཕྱོགས་བཅུ	十方	1	宝性论大疏	
བླ་རེ	华盖	1	宝性论大疏	
དཔལ་གྱི་སྙིང་པོ	吉祥藏	1	宝性论大疏	
མཛོད་སྤུ	眉间白毫	1	宝性论大疏	
ཤིང་ཏ་ལ	多罗树	1	宝性论大疏	
འདི་ལྟ་སྟེ	如下	1	宝性论大疏	是
འབྱུང་གནས	生处	1	宝性论大疏	
གསོལ་བ	启请	1	宝性论大疏	
ཕན་ཚུན	辗转	1	宝性论大疏	是
རིགས་ཀྱི་བུ་མོ	善女人	1	宝性论大疏	
འདི་ལྟ་བུ	如是	1	宝性论大疏	
སྲས་ཀྱི་ཐུ་བོ	长子	1	宝性论大疏	
སྣང་བ	放光	1	宝性论大疏	是
ཞུ་བ	请问	1	宝性论大疏	
རྣམ་འདྲེན	导师	1	宝性论大疏	
འདྲེན་པ	导师	1	宝性论大疏	
དམ་པ	最上	1	宝性论大疏	
སྦྱང་བྱ	所净	1	宝性论大疏	
བརྟན་གཡོ	动静世间	1	宝性论大疏	
བརྟག་དཔྱད	观察	1	宝性论大疏	
བྱང་ཆུབ་སེམས་དཔའི་ས་བཅུ	菩萨十地	1	宝性论大疏	
རྡོ་དྲེག	石垢	1	宝性论大疏	
ནོར་བུ	珍宝	1	宝性论大疏	
སྨན་ཆེན	大药	1	宝性论大疏	
སྐྱེས་པ	男子	1	宝性论大疏	
འཕགས་པའི་ཆོས	圣法	1	宝性论大疏	
འཆི་བ་མི་རྟག་པ	死无常	1	宝性论大疏	
སྲིད་པའི་རྩ་བ	三有之根	1	宝性论大疏	
ཡུལ་གསུམ	三境	1	宝性论大疏	
ཞེ་ན	之后	1	宝性论大疏	是
རིམ་པ་གཉིས	二次第	1	宝性论大疏	
ཕ་རོལ་ཏུ་ཕྱིན་པ	慧度	1	宝性论大疏	是
དབང་རྟུལ	钝根	1	宝性论大疏	
ཡོན་གནས	福田	1	宝性论大疏	
གཞན་སྟོང	圆成实	1	宝性论大疏	
བདེན་གྲུབ	谛实有	1	宝性论大疏	是
མུ་ཅོར	妄言	1	宝性论大疏	
བསླབ་པ་གསུམ	慧三学	1	宝性论大疏	
བློ་གྲོས	愚痴	1	宝性论大疏	是
ང་རྒྱལ་བདུན	我慢	1	宝性论大疏	
ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག	六度	1	宝性论大疏	
གཟོ་བ	知恩	1	宝性论大疏	
ལུས་མེད	虚空	1	宝性论大疏	
སེམས་བསྐྱེད	大乘心	1	宝性论大疏	是
བཤད་ཚུལ	说法	1	宝性论大疏	
སྐྱབས་སུ་འགྲོའོ	归依	1	宝性论大疏	
བརྟུལ་བ	调伏	1	宝性论大疏	
ལྡན་པ	所有	1	宝性论大疏	是
སྔོན་གྱི་སྨོན་ལམ	宿愿	1	宝性论大疏	
རེ་ཞིག	暂时	1	宝性论大疏	
མཐོང་སྤང	所断烦恼	1	宝性论大疏	是
བརྟུལ་ཞུགས་མཆོག་འཛིན	戒禁取	1	宝性论大疏	
གང་ཅི	任何	1	宝性论大疏	
ལྟ་བ་མཆོག་འཛིན	见取见	1	宝性论大疏	
མདོར་ན	乃至	1	宝性论大疏	是
རིག་པ	了解	1	宝性论大疏	是
དུས་གསུམ	过去	1	宝性论大疏	是
ཤེས་པ	根识	1	宝性论大疏	是
དེ་ལ་སོགས་པ	彼等	1	宝性论大疏	
སེམས་པ	心思	1	宝性论大疏	
རྟོག་པ	分别心	1	宝性论大疏	是
རྟོག་པ་མེད་པ	无分别	1	宝性论大疏	
ཐབས་ཀྱི་སྒོ	方便之门	1	宝性论大疏	
ཁ་གདངས	张口	1	宝性论大疏	
དམ་པ	圣善	1	宝性论大疏	
གང་ཡང	任何	1	宝性论大疏	是
ཡུལ་མི	方言	1	宝性论大疏	
འགོག་པའི་བདེན་པ	业及烦恼	1	宝性论大疏	是
འགོག་བདེན	名灭谛	1	宝性论大疏	是
རྣམ་པར་ཤེས་པ	之心	1	宝性论大疏	
བག་ཆགས	不善	1	宝性论大疏	是
ཡིད་ལ	心中	1	宝性论大疏	
འཆི་བ	自尽	1	宝性论大疏	
ཁྱད་པར	差异	1	宝性论大疏	是
ཐམས་ཅད	所有一切	1	宝性论大疏	是
འཁོར་བའི་རྩ་བ	生死根本	1	宝性论大疏	
བཙལ་བ	寻求	1	宝性论大疏	
ཅི་ལྟར	如何	1	宝性论大疏	
རུང་བ	之义	1	宝性论大疏	
ཡང་དག་པ	无倒	1	宝性论大疏	是
རྣམ་པར་རིག་པ	了知	1	宝性论大疏	
སོ་སོ་བ	各别	1	宝性论大疏	
ཇི་ལྟ་བ	法性	1	宝性论大疏	是
བཞེད་པ	主张	1	宝性论大疏	是
སྐྱེས་བུ་ཆེན་པོའི་ལམ	上士道	1	宝性论大疏	
ཐགས་མཁན	蜘蛛	1	宝性论大疏	
འཁྲུལ་བ	误失	1	宝性论大疏	是
རྩ་བ་ཤེས་རབ	中论	1	宝性论大疏	
དབུ་མ	中论	1	宝性论大疏	是
རྣམ་བཞག	分别	1	宝性论大疏	
རྒྱུད་སྡེ	续部	1	宝性论大疏	
སྡེ་སྣོད་གསུམ	三藏	1	宝性论大疏	
བསལ་བ	违越	1	宝性论大疏	
ཐ་ན	乃至	1	宝性论大疏	
གསུངས་པ	已说	1	宝性论大疏	
ཟླ་བ་ཚེས་པ	初月	1	宝性论大疏	
དབང་བཅུ	智自在	1	宝性论大疏	是
སྡོམ་པ	戒律	1	宝性论大疏	
ཁྲིམས་ལྡན	具戒	1	宝性论大疏	
ཁྱིམ་བདག	丈夫	1	宝性论大疏	是
ཆོས་ཀྱི་སྟོབས	法力	1	宝性论大疏	
ཆོས་སྲུང	护法	1	宝性论大疏	
རི་མོར་བྱེད	恭敬	1	宝性论大疏	
ལན་ཅིག་ཕྱིར་འོང	一来	1	宝性论大疏	
ཞེ་ས	恭敬	1	宝性论大疏	
ཆོས་ཉན་པ	听法	1	宝性论大疏	
ཆོས་ཀྱི་སྦྱིན་པ	法施	1	宝性论大疏	
ཉམས་ལེན	修持	1	宝性论大疏	
ཁེངས་སྐྱུང	谦逊	1	宝性论大疏	
རེ་ཙམ	少许	1	宝性论大疏	
ངེས་འབྱུང	厌离	1	宝性论大疏	是
འགའ་ཞིག	少许	1	宝性论大疏	
དགེ་འདུན	僧众	1	宝性论大疏	
ཐེག་པ་གསུམ	声闻	1	宝性论大疏	是
རྐང་གཉིས	两足	1	宝性论大疏	
ཚོགས་ཀྱི་མཆོག	众中尊	1	宝性论大疏	
གང་ཟག	故名	1	宝性论大疏	是
བསོད་ནམས་ཀྱི་ཞིང	福田	1	宝性论大疏	
ཝ་སྐྱེས	野干	1	宝性论大疏	
འགོག་པ	寂灭	1	宝性论大疏	
མཆོག་མ	殊胜	1	宝性论大疏	
འཁར་བ	手杖	1	宝性论大疏	
བཤད་པ	论说	1	宝性论大疏	是
དེ་དང་དེ	种种	1	宝性论大疏	是
ཐེ་ཚོམ	怀疑	1	宝性论大疏	
དམ་པའི་ཆོས	妙法	1	宝性论大疏	是
གྲགས་པ	声誉	1	宝性论大疏	
སྐྱེ་བ་མེད་པ	不生	1	宝性论大疏	是
གཡུང་དྲུང	坚固	1	宝性论大疏	
རིན་པོ་ཆེ	珍宝	1	宝性论大疏	
བཅོས་མ	虚假	1	宝性论大疏	
ལྟར་སྣང	相似	1	宝性论大疏	
རློམ་པ	自诩	1	宝性论大疏	
རྣམ་པ	各自	1	宝性论大疏	是
དྲི་མ་མེད་པ	无垢佛	1	宝性论大疏	是
རི་རབ	须弥山	1	宝性论大疏	
གླིང་བཞི	南瞻部洲	1	宝性论大疏	是
བ་ལང་སྤྱོད	西牛货洲	1	宝性论大疏	
སྒྲ་མི་སྙན	俱卢洲	1	宝性论大疏	
ལུས་འཕགས	东胜身洲	1	宝性论大疏	
ཕྱི་རབས	后世	1	宝性论大疏	是
མི་སྲིད་པ	非有	1	宝性论大疏	
སྟོང་གསུམ	三千世界	1	宝性论大疏	是
རྨོངས་པ	愚昧	1	宝性论大疏	是
རེ་ཞིག	且止	1	宝性论大疏	
ཐ་དད་པ	各各	1	宝性论大疏	是
ཡེ་ཤེས	圣智	1	宝性论大疏	是
འཕགས་པའི་ཡེ་ཤེས	圣智	1	宝性论大疏	
མདོར་བསྡུས	总略	1	宝性论大疏	是
དེ་ཁོ་ན་ཉིད་ཀྱི་དོན	真实义	1	宝性论大疏	
གཏན་ལ་ཕབ་པ	已抉择	1	宝性论大疏	
མཐར་གྱིས	依次	1	宝性论大疏	
ཐོགས་མེད	摄大乘论	1	宝性论大疏	是
དེས་ན	若尔	1	宝性论大疏	是
མཚུངས་པ	相等	1	宝性论大疏	是
ཐེར་ཟུག	坚固	1	宝性论大疏	
རྫ་མཁན	陶师	1	宝性论大疏	
ནོན་པ	耽着	1	宝性论大疏	
རིན་ཐང	无价宝	1	宝性论大疏	
དེ་ཁོ་ན་ཉིད	空性	1	宝性论大疏	
རྟག་པ་ཉིད	常性	1	宝性论大疏	
དོན་ཚན	类别	1	宝性论大疏	
བཅུ་པོ	十者	1	宝性论大疏	
བརྩེ་བ	悲心	1	宝性论大疏	是
འགྱུར་བ	变成	1	宝性论大疏	是
རེ་རེ	各别	1	宝性论大疏	是
སྐྱེ་བ	变成	1	宝性论大疏	是
མཐུན་རྐྱེན	顺缘	1	宝性论大疏	
ཐོབ་པ	法之一	1	宝性论大疏	是
གང་ཟག་གི་བདག	人我	1	宝性论大疏	是
རང་ཉིད	独自	1	宝性论大疏	是
སྲིད་པ	中有	1	宝性论大疏	
སྡེ་སྣོད	之器	1	宝性论大疏	
ཀུན་ཏུ་རྒྱུ	外道	1	宝性论大疏	
གཅེར་བུ	裸体	1	宝性论大疏	
དགག་པ	无我	1	宝性论大疏	
ཐམས་ཅད་མཁྱེན་པ་ཉིད	一切智	1	宝性论大疏	
གཞི་མེད	空性	1	宝性论大疏	是
སྟོང་པ་ཉིད་དུ་ལྟ་བ	观空性	1	宝性论大疏	
དེ་དག	彼二	1	宝性论大疏	是
ཕལ་བ	普通	1	宝性论大疏	
ནམ་མཁའ་མཛོད་ཀྱི་ཏིང་ངེ་འཛིན	虚空藏三摩地	1	宝性论大疏	
ཞི་གནས	三摩地	1	宝性论大疏	是
འདུན་པ	欲乐	1	宝性论大疏	是
དང་བའི་དད་པ	净信	1	宝性论大疏	
མཁན་པོ	亲教师	1	宝性论大疏	
ཧྭ་ཤང	和尚	1	宝性论大疏	
རྒྱ་ནག	汉地	1	宝性论大疏	
ནུབ་ཕྱོགས	西方	1	宝性论大疏	
ཤར་ཕྱོགས	东方	1	宝性论大疏	
མུ་མཐའ	边际	1	宝性论大疏	
དེ་བཞིན་གཤེགས་པའི་ཆོས་སྐུ	如来法身	1	宝性论大疏	
བདུན་ཕྲག	七日	1	宝性论大疏	
བར་སྲིད	中有	1	宝性论大疏	
ཀུན་ཏུ་སྤྱོད་པ	行为	1	宝性论大疏	
དེ་སྙེད	乃至	1	宝性论大疏	
ཉོན་མོངས་པའི་ཀུན་ནས་ཉོན་མོངས་པ	烦恼杂染	1	宝性论大疏	
ཀུན་ནས་ཉོན་མོངས་པ	染污	1	宝性论大疏	是
ཉན་ཐོས་ཀྱི་ས	声闻地	1	宝性论大疏	
སྤྲོས་པ	远离戏论	1	宝性论大疏	是
གྲོལ་བ	涅槃	1	宝性论大疏	是
འཁོར་འདས	有寂	1	宝性论大疏	是
རྒྱུ་གཉིས	二种	1	宝性论大疏	是
འདུ་བྱེད	行为	1	宝性论大疏	
ཐབས་ཤེས	方便智慧	1	宝性论大疏	
ཞི་བ	涅槃	1	宝性论大疏	是
མྱ་ངན	苦恼	1	宝性论大疏	
བརྩེ་ལྡན	菩萨	1	宝性论大疏	
སྲེད་པ	断贪	1	宝性论大疏	
སྔ་མ	先前	1	宝性论大疏	
འཁོར་བའི་སྐྱོན	生死过患	1	宝性论大疏	
ཐར་པ་ཆ་མཐུན	顺解脱分	1	宝性论大疏	
འཁོར་ལོ་བཞི	四轮	1	宝性论大疏	
སྐྱེས་བུ་དམ་པ	正士	1	宝性论大疏	
བསོད་ནམས	积福	1	宝性论大疏	是
ཉན་ཐོས་ཀྱི་རིགས་ཅན	伽罗	1	宝性论大疏	
ཐོས་པ	经教	1	宝性论大疏	是
ཐ་ན	下至	1	宝性论大疏	
དུས་གཞན	别时	1	宝性论大疏	
ཕྱི་མ	后来	1	宝性论大疏	是
ས་བོན	麦种	1	宝性论大疏	是
ཐར་ལམ	解脱道	1	宝性论大疏	
དངོས་པོ	有事	1	宝性论大疏	是
ཅེ་ན	之后	1	宝性论大疏	是
ཕན་ཆད་དུ	以后	1	宝性论大疏	
སྔོན་པོ	青色	1	宝性论大疏	
ཕྱི་མཐའ	以后	1	宝性论大疏	
གསལ་བ	后陈	1	宝性论大疏	是
ཡོད་པ	定有	1	宝性论大疏	是
དཔྱད་ཤེས	伺察识	1	宝性论大疏	
ཐབས་ཤེས	方便	1	宝性论大疏	
ཐབས་མེད	不可	1	宝性论大疏	
ཅེ་ན	如云	1	宝性论大疏	是
རུང་བ	堪能	1	宝性论大疏	
མི་སྲིད་པ	无有	1	宝性论大疏	
གཤེར་བ	湿润	1	宝性论大疏	
མངོན་ཤེས་ལྔ	五通	1	宝性论大疏	
ཟག་པ་ཟད་པ	无垢	1	宝性论大疏	是
ལྡོག་པ	颠倒	1	宝性论大疏	
སྤྱིའི་མཚན་ཉིད	无常等	1	宝性论大疏	
ཐ་དད	别异	1	宝性论大疏	
བྱིས་པ	异生	1	宝性论大疏	是
དེ་བཞིན་ཉིད་གསུམ	三真如	1	宝性论大疏	
བདེན་པ	真理	1	宝性论大疏	是
སྡོད་ལུགས	真理	1	宝性论大疏	
ཟག་པ	不净	1	宝性论大疏	是
འཁོར་བའི་རྒྱུན	生死流	1	宝性论大疏	
ཆོས་ཕུང	法蕴	1	宝性论大疏	
དྲི་བྲལ	无垢	1	宝性论大疏	
ཡི་གེ	文字	1	宝性论大疏	
རེག་བྱ	取境	1	宝性论大疏	
མངོན་སུམ	根现量	1	宝性论大疏	是
གཟུང་ཡུལ	所取境	1	宝性论大疏	
མིག་གི་དབང་པོ	眼根	1	宝性论大疏	
རྟེན་བྱེད	能依	1	宝性论大疏	
མི་བརྟན་པ	不坚固	1	宝性论大疏	
ཆུ་ཁམས	水界	1	宝性论大疏	
ཁམས་བཞི	四界	1	宝性论大疏	
སའི་ཁམས	地界	1	宝性论大疏	
རིགས་མཐུན	同类	1	宝性论大疏	
སྤྱོད་པ	行为	1	宝性论大疏	是
སྐྱེ་བའི་སྡུག་བསྔལ	生苦	1	宝性论大疏	
སྲིད་པའི་ཟག་པ	有漏	1	宝性论大疏	
ཞི་བར་བྱེད་པ	寂静	1	宝性论大疏	
འདོད་པའི་ཟག་པ	欲漏	1	宝性论大疏	
གཟུགས་ཁམས	色界	1	宝性论大疏	
བསྐྱེད་པ	发心	1	宝性论大疏	
མ་སྐྱེས་པ	不生	1	宝性论大疏	
སྙིང་པོ་མེད་པ	无坚实	1	宝性论大疏	
སླད་དུ	是故	1	宝性论大疏	是
སྙིང་རྗེ་ཆེན་པོའི་སྟོབས	大悲力	1	宝性论大疏	
ཤེས་རབ་ཀྱི་སྟོབས	慧力	1	宝性论大疏	
སྡུག་པ	悦意	1	宝性论大疏	是
ཁམས་གསུམ	欲界	1	宝性论大疏	是
བྱང་ཆུབ་ཀྱི་ཡན་ལག	菩提分	1	宝性论大疏	
དོན་གཞན	别义	1	宝性论大疏	
འབའ་ཞིག	单纯	1	宝性论大疏	
འཚམ་པ	适合	1	宝性论大疏	
སྲིད་པ	世间	1	宝性论大疏	
ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག	六波罗蜜多	1	宝性论大疏	
ཚུལ་འཆལ	犯戒	1	宝性论大疏	
འདུ་བྱེད་པ	有所为	1	宝性论大疏	
ཞི་བ	自在	1	宝性论大疏	是
བྱེ་བྲག	不同	1	宝性论大疏	是
དེད་དཔོན	商主	1	宝性论大疏	
གང་དག	所有	1	宝性论大疏	是
སྡོམ་པ	断除	1	宝性论大疏	
རྟག་པ	虚空	1	宝性论大疏	是
གྲངས་ཅན་པ	数论师	1	宝性论大疏	
གཙོ་བོ	胜性	1	宝性论大疏	是
བདེན་པ	实事	1	宝性论大疏	是
དཔལ་དུས་ཀྱི་འཁོར་ལོ	吉祥时轮	1	宝性论大疏	
རྣམ་ཀུན་མཆོག་ལྡན	时轮	1	宝性论大疏	
ཕར་ཕྱིན་དྲུག	布施	1	宝性论大疏	
སེར་སྣ	悭吝	1	宝性论大疏	
མི་གཡོ་བ	不动	1	宝性论大疏	
ཆོས་ཤེས	法智	1	宝性论大疏	
ཤེས་པ	知道	1	宝性论大疏	是
གསང་སྔགས	密咒	1	宝性论大疏	
གྲངས་མེད་པ	无量	1	宝性论大疏	是
ཉེ་བར་གནས་པ	现前	1	宝性论大疏	
ཐོག་མ་མེད་པ	无始时	1	宝性论大疏	是
མཚོན་བྱེད	能表	1	宝性论大疏	
ཚན་གཅིག	一类	1	宝性论大疏	
སྐྱེ་ཤིང	树木	1	宝性论大疏	
ངོ་བོ	本性	1	宝性论大疏	是
རང་བཞིན	变质	1	宝性论大疏	是
མི་བདག	人主	1	宝性论大疏	
མནར་མེད	无间地狱	1	宝性论大疏	是
མཐའ་དག	全部	1	宝性论大疏	是
གཏན་ནས	毕竟	1	宝性论大疏	
ཁྱིམ་ནང	家中	1	宝性论大疏	
ཨ་མྲ	庵摩罗果	1	宝性论大疏	
དུད་འགྲོ	畜生	1	宝性论大疏	是
གཟུགས་ངན	丑陋	1	宝性论大疏	
མགོན་མེད	无依	1	宝性论大疏	
གོང་འོག	上下	1	宝性论大疏	
གསེར་ཞུན་མ	熔金	1	宝性论大疏	
རིན་ཆེན་འབྱུང་གནས	宝源	1	宝性论大疏	
སེལ་བ	清除	1	宝性论大疏	
ལྷན་ཅིག་སྐྱེས་པ	俱生	1	宝性论大疏	
བསོད་ནམས་ཀྱི་ལས	福业	1	宝性论大疏	
ཁམས་གོང་མ་གཉིས	上二界	1	宝性论大疏	
མཐའ་ལས་འདས་པ	无边	1	宝性论大疏	
ལྷག་མ	剩余	1	宝性论大疏	是
ཉོན་མོངས་པ་ཅན་གྱི་ཡིད	染污意	1	宝性论大疏	
ཅི་ཡང་མེད་པ	无所有	1	宝性论大疏	
འཇིག་རྟེན་པའི་ལམ	世间道	1	宝性论大疏	
དངོས་གཞི	正行	1	宝性论大疏	
ཆོས་སྟོན	说法者	1	宝性论大疏	
དེ་ལྟར	如前	1	宝性论大疏	是
དོན་དངོས	实际	1	宝性论大疏	
ལྡོག་ཕྱོགས	反面	1	宝性论大疏	
སྙོམས་པར་འཇུག་པ	入定	1	宝性论大疏	
ཕྱིན་ཆད	今后	1	宝性论大疏	
ཐོག་མ	最初	1	宝性论大疏	
ཕྲ་མོ	微尘	1	宝性论大疏	是
སོ་སོར་བརྟགས་འགོག	择灭	1	宝性论大疏	
མངོན་པ	阿毗达磨	1	宝性论大疏	
མཐའ་མ	最后	1	宝性论大疏	
མཛོ་སྦྲེལ	双牛	1	宝性论大疏	
ལྡོག་པ	反体	1	宝性论大疏	
རྗེས་ཤེས	类智	1	宝性论大疏	
རྗེས་བཟོད	类忍	1	宝性论大疏	
ཆོས་ཀྱི་བཟོད་པ	法忍	1	宝性论大疏	
ཆོས་བཟོད	法忍	1	宝性论大疏	
སྒོ་ངའི་སྦུབས	卵壳	1	宝性论大疏	
ཡིད་དགའ	心欢喜	1	宝性论大疏	
འདམ་ལས་སྐྱེས་པ	泥生	1	宝性论大疏	
སྔོན་གྱི་ལས	宿业	1	宝性论大疏	
གསུང་རབ་ཡན་ལག་བཅུ་གཉིས	应颂	1	宝性论大疏	
ཤུན་པ	皮壳	1	宝性论大疏	
ཁ་ན་མ་ཐོ་བ	无罪	1	宝性论大疏	
བརྟེན་པ	不变	1	宝性论大疏	
མཁྱེན་པ	现知	1	宝性论大疏	是
འབྲས་བུའི་ཤིང	果树	1	宝性论大疏	
མཚན་དཔེ	相好	1	宝性论大疏	
དེས་ན	是故	1	宝性论大疏	是
སླད་དུ	因此	1	宝性论大疏	是
བཤད་པ	解说	1	宝性论大疏	是
ཁྱབ་བྱེད	能遍	1	宝性论大疏	
ཚད་མ	真实	1	宝性论大疏	
སྦྱོར་ལམ་བཟོད་པ	加行道忍位	1	宝性论大疏	
སྟོན་པ	显示	1	宝性论大疏	是
ཁྱད་པར	特别	1	宝性论大疏	是
དོན་དུ	为此	1	宝性论大疏	是
རྟག་པ	平等性	1	宝性论大疏	是
བདག་ཏུ་འཛིན་པ	我执	1	宝性论大疏	
གྱོ་མོ	砂砾	1	宝性论大疏	
གསེག་མ	砂砾	1	宝性论大疏	
གཡེངས་པ	散乱	1	宝性论大疏	
ལྟ་བ	见解	1	宝性论大疏	是
སེམས་ཙམ་པ	唯识师	1	宝性论大疏	
ཅེས་བྱ་བ	名为	1	宝性论大疏	
རང་ལུགས	建立自宗	1	宝性论大疏	
སེམས་གཡེངས་པ	心散乱	1	宝性论大疏	
འགའ་ཡང་མེད	全无	1	宝性论大疏	
དོན་དམ་པ་སྟོང་པ་ཉིད	胜义空	1	宝性论大疏	
སྒྲོ་སྐུར	增损	1	宝性论大疏	
མཐོང་རྒྱ	见识	1	宝性论大疏	
ཆགས་པ	无贪	1	宝性论大疏	是
དངོས་བསྟན	明说	1	宝性论大疏	
ཡང་དག་མཐའ	实际	1	宝性论大疏	是
མོ་གཤམ	石女	1	宝性论大疏	
འདི་ཡིན་འདི་མིན	此是此非	1	宝性论大疏	
དེ་དག	如是一切	1	宝性论大疏	是
གཏེར་ཆེན	大宝藏	1	宝性论大疏	
ཇི་བཞིན	相似	1	宝性论大疏	是
བརྒྱད་སྟོང་པ	八千颂	1	宝性论大疏	
སློབ་པ	学习	1	宝性论大疏	是
ཅི་ཡང	任何	1	宝性论大疏	
ལོངས་སྤྱད་པ	受用	1	宝性论大疏	
སྤྲུལ་པ	幻化	1	宝性论大疏	是
