藏文	汉译	频次	出处	已入主表
ཀུན་བརྟགས	圆成实	11	宝性论大疏、极广胜乘中观决定	是
ལོག་པ	颠倒	11	宝性论大疏、极广胜乘中观决定	是
གསུམ་པོ	三者	11	宝性论大疏、极广胜乘中观决定	是
ཉོན་མོངས་པ	杂染	11	宝性论大疏、极广胜乘中观决定	是
དེ་བཞིན	如彼	11	宝性论大疏、极广胜乘中观决定	是
མཐའ་གཉིས	二边	11	宝性论大疏、极广胜乘中观决定	是
བཅོ་བརྒྱད	十八	11	宝性论大疏、极广胜乘中观决定	是
མཉམ་པ	平等	11	宝性论大疏、极广胜乘中观决定	是
མན་ཆད	以下	11	宝性论大疏、极广胜乘中观决定	是
ཚོགས་གཉིས	二资粮	11	宝性论大疏、极广胜乘中观决定	是
འཕགས་པ	独觉圣者	11	宝性论大疏	是
འོད་ཟེར	光明	11	宝性论大疏	是
དྲུག་ཅུ	六十	11	宝性论大疏	是
དོན་གཉེར	希求	11	宝性论大疏	是
ཐོབ་བྱེད	能得	11	宝性论大疏	是
མཐོང་ལམ	见道	11	宝性论大疏	是
བདེན་གྲུབ	实有	11	宝性论大疏	是
སྒྲུབ་བྱེད	能立	11	宝性论大疏	是
གོམས་པ	串习	11	宝性论大疏	是
མཁྱེན་པའི་སྟོབས	智力	11	宝性论大疏	是
ཐེག་ཆེན	大乘	10	宝性论大疏、极广胜乘中观决定	是
དུག་གསུམ	三毒	10	宝性论大疏、极广胜乘中观决定	是
བརྩོན་འགྲུས	精进	10	宝性论大疏、极广胜乘中观决定	是
བཞི་པ	第四	10	宝性论大疏、极广胜乘中观决定	是
རང་ཉིད	自性	10	宝性论大疏、极广胜乘中观决定	是
དང་པོ	先前	10	宝性论大疏、极广胜乘中观决定	是
ཆོས་ཀྱི་བདག	法我	10	宝性论大疏、极广胜乘中观决定	是
གྲུབ་པ	成就	10	宝性论大疏、极广胜乘中观决定	是
ཁམས་གསུམ	三界	10	宝性论大疏、极广胜乘中观决定	是
དེ་བཞིན	如实	10	宝性论大疏、极广胜乘中观决定	是
རྒྱ་ཆེན་པོ	广大	10	宝性论大疏	是
ཐུབ་པ	能仁	10	宝性论大疏	是
དོན་བསྡུས	摄义	10	宝性论大疏	是
དོན་དམ་བདེན་པ	胜义谛	10	宝性论大疏	是
མཐོང་སྤང	见所断	10	宝性论大疏	是
བསྟན་པ	说法	10	宝性论大疏	是
ཟད་པར	一切	10	宝性论大疏	是
ནམ་མཁའི་ཁམས	虚空界	10	宝性论大疏	是
སྐྱེ་འཆི	生死	10	宝性论大疏	是
ཐོགས་མེད	无著	9	宝性论大疏、极广胜乘中观决定	是
གཉིས་ཀ	二者	9	宝性论大疏、极广胜乘中观决定	是
བདེན་པ་གཉིས	二谛	9	宝性论大疏、极广胜乘中观决定	是
དེ་ཕྱིར	是故	9	极广胜乘中观决定	是
རྣམ་དག	清净	9	宝性论大疏、极广胜乘中观决定	是
མི་ཟད	无尽	9	宝性论大疏、极广胜乘中观决定	是
སེམས་ཅན	众生	9	宝性论大疏、极广胜乘中观决定	是
དབྱེར་མེད	无差别	9	宝性论大疏、极广胜乘中观决定	是
མཉམ་ཉིད	平等性	9	宝性论大疏、极广胜乘中观决定	是
ཇི་བཞིན	如实	9	宝性论大疏、极广胜乘中观决定	是
མ་རིག་པ	无明	9	宝性论大疏、极广胜乘中观决定	是
ཏིང་འཛིན	三摩地	9	极广胜乘中观决定	是
སྟོབས་བཅུ	十力	9	宝性论大疏、极广胜乘中观决定	是
ཡན་ཆད	以上	9	宝性论大疏	是
བཤད་པ	解释	9	宝性论大疏	是
སྦྱོང་བྱེད	能净	9	宝性论大疏	是
སོ་སྐྱེ	异生	9	宝性论大疏	是
ཐམས་ཅད་མཁྱེན་པ	一切智	9	宝性论大疏	是
བྱང་ཆུབ་ཀྱི་སེམས	菩提心	9	宝性论大疏	是
གང་ཟག་གི་བདག	补特伽罗我	9	宝性论大疏	是
བདག་མེད་པ	无我	9	宝性论大疏	是
དོན་དུ	以此	9	宝性论大疏	是
འོད་གསལ་བ	清净	9	宝性论大疏	是
སྐུ་གསུམ	法身	9	宝性论大疏	是
རྫོགས་པའི་སངས་རྒྱས	等觉	9	宝性论大疏	是
སྲིད་ཞི	有寂	9	宝性论大疏	是
བསོད་ནམས་ཀྱི་ཚོགས	福德资粮	9	宝性论大疏	是
ལུང་བསྟན	授记	8	宝性论大疏、极广胜乘中观决定	是
སྐྱེ་འགག	生灭	8	宝性论大疏、极广胜乘中观决定	是
རྣམ་པ	不同	8	宝性论大疏、极广胜乘中观决定	是
དངོས་པོ	真实	8	宝性论大疏、极广胜乘中观决定	是
ཡོད་པ	实有	8	宝性论大疏、极广胜乘中观决定	是
ལུས་ཅན	有情	8	宝性论大疏、极广胜乘中观决定	是
འདས་པ	涅槃	8	宝性论大疏、极广胜乘中观决定	是
མཐའ་ཡས	无边	8	宝性论大疏、极广胜乘中观决定	是
འབྱུང་བ	生起	8	宝性论大疏、极广胜乘中观决定	是
མ་ཐག་ཏུ	无间	8	宝性论大疏、极广胜乘中观决定	是
དུས་མཉམ	同时	8	宝性论大疏、极广胜乘中观决定	是
དོན་དམ་པ	胜义	8	宝性论大疏、极广胜乘中观决定	是
བྲལ་བ	离系	8	宝性论大疏、极广胜乘中观决定	是
འོད་གསལ	光明	8	宝性论大疏、极广胜乘中观决定	是
བརྒྱད་པ	第八	8	宝性论大疏、极广胜乘中观决定	是
བྱེ་བ	俱胝	8	宝性论大疏、极广胜乘中观决定	是
བླ་ན་མེད་པ	无上	8	宝性论大疏、极广胜乘中观决定	是
སློབ་པ	有学	8	宝性论大疏、极广胜乘中观决定	是
ལམ་གྱི་བདེན་པ	道谛	8	宝性论大疏、极广胜乘中观决定	是
ཐོས་བསམ	闻思	8	宝性论大疏、极广胜乘中观决定	是
བདེན་པ	谛实	8	宝性论大疏	是
བླ་ན་མེད་པ	无上正等觉	8	宝性论大疏	是
མདོར་བསྡུས་ན	简言之	8	宝性论大疏	是
སྦྱོར་བ	加行	8	宝性论大疏	是
