藏文	汉译	频次	出处
དང་ལྡན་པ	相应	12	宝性论大疏
མཚན་གཞི	所相	11	宝性论大疏、极广胜乘中观决定
མུ་སྟེགས	外道	11	宝性论大疏、极广胜乘中观决定
རྣམ་བྱང	清净	11	宝性论大疏、极广胜乘中观决定
བདག་མེད་གཉིས	二无我	11	宝性论大疏、极广胜乘中观决定
ཀུན་བརྟགས	遍计所执	11	宝性论大疏、极广胜乘中观决定｜人工校正
ལོག་པ	颠倒	11	宝性论大疏、极广胜乘中观决定
གསུམ་པོ	三者	11	宝性论大疏、极广胜乘中观决定
ཉོན་མོངས་པ	杂染	11	宝性论大疏、极广胜乘中观决定
དེ་བཞིན	如彼	11	宝性论大疏、极广胜乘中观决定
མཐའ་གཉིས	二边	11	宝性论大疏、极广胜乘中观决定
བཅོ་བརྒྱད	十八	11	宝性论大疏、极广胜乘中观决定
མན་ཆད	以下	11	宝性论大疏、极广胜乘中观决定
ཚོགས་གཉིས	二资粮	11	宝性论大疏、极广胜乘中观决定
མཉམ་པ	平等	11	宝性论大疏
དྲུག་ཅུ	六十	11	宝性论大疏
དོན་གཉེར	希求	11	宝性论大疏
ཐོབ་བྱེད	能得	11	宝性论大疏
མཐོང་ལམ	见道	11	宝性论大疏
བདེན་གྲུབ	实有	11	宝性论大疏
སྒྲུབ་བྱེད	能立	11	宝性论大疏
གོམས་པ	串习	11	宝性论大疏
མཁྱེན་པའི་སྟོབས	智力	11	宝性论大疏
ཐེག་ཆེན	大乘	10	宝性论大疏、极广胜乘中观决定
དུག་གསུམ	三毒	10	宝性论大疏、极广胜乘中观决定
བརྩོན་འགྲུས	精进	10	宝性论大疏、极广胜乘中观决定
རྣམ་པ	不同	10	宝性论大疏、极广胜乘中观决定
བཞི་པ	第四	10	宝性论大疏、极广胜乘中观决定
ཉོན་མོངས	染污	10	宝性论大疏、极广胜乘中观决定
རང་ཉིད	自身	10	宝性论大疏、极广胜乘中观决定｜人工校正
དང་པོ	先前	10	宝性论大疏、极广胜乘中观决定
ཆོས་ཀྱི་བདག	法我	10	宝性论大疏、极广胜乘中观决定
ཁམས་གསུམ	三界	10	宝性论大疏、极广胜乘中观决定
ཐུབ་པ	能仁	10	宝性论大疏
རྒྱ་ཆེན་པོ	广大	10	宝性论大疏
དོན་བསྡུས	摄义	10	宝性论大疏
དོན་དམ་བདེན་པ	胜义谛	10	宝性论大疏
ཡོན་ཏན	说法	10	宝性论大疏
མཐོང་སྤང	见所断	10	宝性论大疏
ཟད་པར	一切	10	宝性论大疏
ནམ་མཁའི་ཁམས	虚空界	10	宝性论大疏
སྐྱེ་འཆི	生死	10	宝性论大疏
ཐོགས་མེད	无著	9	宝性论大疏、极广胜乘中观决定
གཉིས་ཀ	二者	9	宝性论大疏、极广胜乘中观决定
བདེན་པ་གཉིས	二谛	9	宝性论大疏、极广胜乘中观决定
དངོས་པོ	实有	9	宝性论大疏、极广胜乘中观决定
དེ་ཕྱིར	是故	9	极广胜乘中观决定
རྣམ་དག	清净	9	宝性论大疏、极广胜乘中观决定
མི་ཟད	无尽	9	宝性论大疏、极广胜乘中观决定
སེམས་ཅན	众生	9	宝性论大疏、极广胜乘中观决定
དབྱེར་མེད	无差别	9	宝性论大疏、极广胜乘中观决定
མཉམ་ཉིད	平等性	9	宝性论大疏、极广胜乘中观决定
ཇི་བཞིན	如实	9	宝性论大疏、极广胜乘中观决定
མ་རིག་པ	无明	9	宝性论大疏、极广胜乘中观决定
ཏིང་འཛིན	三摩地	9	极广胜乘中观决定
སྟོབས་བཅུ	十力	9	宝性论大疏、极广胜乘中观决定
ཡན་ཆད	以上	9	宝性论大疏
བྱ་བ	事业	9	宝性论大疏
བཤད་པ	解释	9	宝性论大疏
སྦྱོང་བྱེད	能净	9	宝性论大疏
མཐའ་དག	所有	9	宝性论大疏
སོ་སྐྱེ	异生	9	宝性论大疏
འཕགས་པ	独觉圣者	9	宝性论大疏
ཐམས་ཅད་མཁྱེན་པ	一切智	9	宝性论大疏
བྱེད་པ	事业	9	宝性论大疏
བྱང་ཆུབ་ཀྱི་སེམས	菩提心	9	宝性论大疏
གང་ཟག་གི་བདག	补特伽罗我	9	宝性论大疏
འགྲོ་བ	有情	9	宝性论大疏
བདག་མེད་པ	无我	9	宝性论大疏
དོན་དུ	以此	9	宝性论大疏
རྫོགས་པའི་སངས་རྒྱས	等觉	9	宝性论大疏
སྲིད་ཞི	有寂	9	宝性论大疏
བསོད་ནམས་ཀྱི་ཚོགས	福德资粮	9	宝性论大疏
ལུང་བསྟན	授记	8	宝性论大疏、极广胜乘中观决定
སྐྱེ་འགག	生灭	8	宝性论大疏、极广胜乘中观决定
དུས་གསུམ	三时	8	宝性论大疏、极广胜乘中观决定
ཡོད་པ	实有	8	宝性论大疏、极广胜乘中观决定
ལུས་ཅན	有情	8	宝性论大疏、极广胜乘中观决定
འདས་པ	过去	8	宝性论大疏、极广胜乘中观决定｜人工校正(时间语境;涅槃=མྱ་ངན་ལས་འདས་པ)
མཐའ་ཡས	无边	8	宝性论大疏、极广胜乘中观决定
འབྱུང་བ	生起	8	宝性论大疏、极广胜乘中观决定
མ་ཐག་ཏུ	无间	8	宝性论大疏、极广胜乘中观决定
དུས་མཉམ	同时	8	宝性论大疏、极广胜乘中观决定
བྱ་བ	所作	8	宝性论大疏、极广胜乘中观决定
བྲལ་བ	离系	8	宝性论大疏、极广胜乘中观决定
འོད་གསལ	光明	8	宝性论大疏、极广胜乘中观决定
བརྒྱད་པ	第八	8	宝性论大疏、极广胜乘中观决定
བྱེ་བ	俱胝	8	宝性论大疏、极广胜乘中观决定
བླ་ན་མེད་པ	无上	8	宝性论大疏、极广胜乘中观决定
སློབ་པ	有学	8	宝性论大疏、极广胜乘中观决定
ལམ་གྱི་བདེན་པ	道谛	8	宝性论大疏、极广胜乘中观决定
ཐོས་བསམ	闻思	8	宝性论大疏、极广胜乘中观决定
བླ་ན་མེད་པ	无上正等觉	8	宝性论大疏
མདོར་བསྡུས་ན	简言之	8	宝性论大疏
དེ་ལྟར	所依	8	宝性论大疏
འབྱུང་བ	出生	8	宝性论大疏
དགག་བྱ	所破	8	宝性论大疏
དང་པོ	根本	8	宝性论大疏
ས་གཞི	地基	8	宝性论大疏
ཡང་དག་པ	如实	8	宝性论大疏
འགོག་པའི་བདེན་པ	灭谛	8	宝性论大疏
ཀུན་ནས་ཉོན་མོངས་པ	杂染	8	宝性论大疏
ཟག་པ	有漏	8	宝性论大疏
ཤེས་རབ	智慧	8	宝性论大疏
སྦྲང་རྩི	蜂蜜	8	宝性论大疏
དྲང་སྲོང	仙人	8	宝性论大疏
བར་ཆད་མེད་ལམ	无间道	8	宝性论大疏
ཐུན་མོང	共同	7	宝性论大疏、极广胜乘中观决定
རང་གཞན	自他	7	宝性论大疏、极广胜乘中观决定
རང་བཞིན	本性	7	宝性论大疏、极广胜乘中观决定
ཁྱད་ཆོས	差别	7	宝性论大疏、极广胜乘中观决定
རྣམ་གཞག	安立	7	宝性论大疏、极广胜乘中观决定｜人工校正
ཆེ་ཆུང	大小	7	宝性论大疏、极广胜乘中观决定
སྲིད་པ་གསུམ	三有	7	宝性论大疏、极广胜乘中观决定
སྐྱེད་བྱེད	能生	7	宝性论大疏、极广胜乘中观决定
ལྔ་པ	第五	7	宝性论大疏、极广胜乘中观决定
རྟོགས་པ	证悟	7	宝性论大疏、极广胜乘中观决定
རྟག་པ	恒常	7	宝性论大疏、极广胜乘中观决定｜人工校正
དྲུག་པ	第六	7	宝性论大疏、极广胜乘中观决定
འཇིག་ཚོགས	坏聚	7	宝性论大疏、极广胜乘中观决定
བྱེ་བྲག	差别	7	宝性论大疏、极广胜乘中观决定
བདག་མེད	法无我	7	宝性论大疏、极广胜乘中观决定
རང་གི་ངོ་བོ	自性	7	宝性论大疏、极广胜乘中观决定
སྟོང་པ་ཉིད	真如	7	宝性论大疏、极广胜乘中观决定
དབང་བསྐུར	灌顶	7	宝性论大疏、极广胜乘中观决定
ལྷན་སྐྱེས	俱生	7	宝性论大疏、极广胜乘中观决定
ཕུན་སུམ་ཚོགས	圆满	7	宝性论大疏
སྐྱེ་བོ	异生	7	宝性论大疏
སྣང་བ	光明	7	宝性论大疏
མཁས་པ	智者	7	宝性论大疏
དོན་གཉིས	二利	7	宝性论大疏
ཤེས་བྱེད	能立	7	宝性论大疏
གཟུགས་མེད	无色	7	宝性论大疏
ཇི་སྐད	如是	7	宝性论大疏
གཉི་ག	二者	7	宝性论大疏
ཉི་མའི་དཀྱིལ་འཁོར	日轮	7	宝性论大疏
ཚུལ་མིན	非理作意	7	宝性论大疏
ཡེ་ཤེས་གཉིས	二智	7	宝性论大疏
བསམ་གྱིས་མི་ཁྱབ་པ	不可思议	7	宝性论大疏
སྦྱོར་བ	加行	7	宝性论大疏
སྤྲུལ་པ	变化	7	宝性论大疏
མཐའ་ཡས་པ	无边	7	宝性论大疏
སྐྱེ་བ་ལེན་པ	受生	7	宝性论大疏
བྱང་ཆུབ་ཆེན་པོ	大菩提	7	宝性论大疏
འབྲེལ་བ	相属／关系（因明语境，如 བདག་གཅིག་འབྲེལ 同体相属）	7	宝性论大疏｜人工校正
རྒྱལ་བ	胜者	6	宝性论大疏、极广胜乘中观决定
འཁྲུལ་བ	错乱	6	宝性论大疏、极广胜乘中观决定
བསོད་ནམས	福德	6	宝性论大疏、极广胜乘中观决定
བདེ་གཤེགས་སྙིང་པོ	如来藏	6	宝性论大疏、极广胜乘中观决定
རང་རང	各自	6	宝性论大疏、极广胜乘中观决定
འགྱུར་མེད	不变	6	宝性论大疏、极广胜乘中观决定
སྐུ་གཉིས	二身	6	宝性论大疏、极广胜乘中观决定
བརྗོད་བྱ	所诠	6	宝性论大疏、极广胜乘中观决定
ཟག་བཅས	有漏	6	宝性论大疏、极广胜乘中观决定
དེ་ཁོ་ན	真实	6	宝性论大疏、极广胜乘中观决定
སྐྱེ་བོ	众生	6	宝性论大疏、极广胜乘中观决定
ཕན་ཚུན	彼此	6	极广胜乘中观决定
འཁོར་བ	轮回	6	极广胜乘中观决定
ཞི་བ	寂静（形容或动词，如 ཞི་བའི་...、平息）｜涅槃／寂灭（独立名词、果位语境，同 མྱ་ངན་ལས་འདས）	6	宝性论大疏、极广胜乘中观决定｜人工校正｜多义
འབྲས་བུ	果	6	宝性论大疏、极广胜乘中观决定｜人工校正
རྣམ་པ	行相	6	极广胜乘中观决定
མཚུངས་ལྡན	相应	6	宝性论大疏、极广胜乘中观决定
ཆོས་ལྔ	五法	6	宝性论大疏、极广胜乘中观决定
ཁོ་ན	唯／正是（限定副词，如 གཅིག་པུ་ཁོ་ན「唯一」）｜真实（仅 དེ་ཁོ་ན(་ཉིད) 语境）	6	极广胜乘中观决定｜人工校正｜多义
བཅུ་གཉིས	十二	6	宝性论大疏、极广胜乘中观决定
ཡང་སྲིད	后有	6	宝性论大疏、极广胜乘中观决定
འདྲ་བ	相似	6	宝性论大疏、极广胜乘中观决定
མོས་པ	信解	6	宝性论大疏、极广胜乘中观决定
སྒོམ་ལམ	修道	6	宝性论大疏、极广胜乘中观决定
ཡང་དག་པ	真实	6	宝性论大疏、极广胜乘中观决定
ལྷུན་གྲུབ	任运	6	宝性论大疏、极广胜乘中观决定
གྲངས་མེད	无数	6	宝性论大疏、极广胜乘中观决定
རྗེས་ཐོབ	后得位	6	宝性论大疏、极广胜乘中观决定
ཇི་སྙེད	一切	6	宝性论大疏、极广胜乘中观决定
ཀླུ་སྒྲུབ	龙树（Nāgārjuna；勿作「龙猛」，本传承统一作「龙树」）	6	他空中观品三双运种界龙树会通校订本｜人工校正
དེ་བཞིན	如实	6	宝性论大疏
ཚོགས་ལམ	资粮道	6	宝性论大疏
སྤྱོད་ཡུལ	所行	6	宝性论大疏
རྣམ་པར་མི་རྟོག་པའི་ཡེ་ཤེས	无分别智	6	宝性论大疏
ཉོན་མོངས་པའི་བག་ཆགས	烦恼习气	6	宝性论大疏
སྦྱོང་བ	净治	6	宝性论大疏
འཇིག་རྟེན་གྱི་ཁམས	世界	6	宝性论大疏
ཆོས་ཀྱི་དབང་ཕྱུག	法自在	6	宝性论大疏
རིགས་ཀྱི་བུ	善男子	6	宝性论大疏
དགྲ་བཅོམ་པའི་འབྲས་བུ	阿罗汉果	6	宝性论大疏
སོ་སོ	分别	6	宝性论大疏
ཐུགས་རྗེ	悲心	6	宝性论大疏
རྒྱ་ཆེ་བ	广大	6	宝性论大疏
གནས་སྐབས	暂时	6	宝性论大疏
ཡུལ་ཅན	有境	6	宝性论大疏
སྒྲིབ་གཉིས	二障	6	宝性论大疏
སྒོ་གསུམ	三门	6	宝性论大疏
གང་ཡིན	所有	6	宝性论大疏
གུས་པ	恭敬	6	宝性论大疏
ཁྱིམ་བདག	长者	6	宝性论大疏
