藏文	汉译	频次	出处
རིགས་སྤྱི	类总·种类共相（sāmānya；非实法·不成实有）	2	他空中观品四校订本｜人工校正
རྫས་སུ་གྲུབ་པ	实有·实体成立（rdzas su grub；对『假立』）	3	他空中观品四校订本｜人工校正
རྣམ་པར་སྨིན་པའི་རྣམ་ཤེས	异熟识（＝阿赖耶·第八识；三能变之一）	2	他空中观品四校订本｜人工校正
དབྱིག་གཉེན	世亲（Vasubandhu；著《唯识三十颂》）	2	他空中观品四校订本｜人工校正
ཆོས་བདག	法我（执诸法为实·作补特伽罗我执之因）	2	他空中观品四校订本｜人工校正
གྱུར་པ	能变（＝འགྱུར་བ pariṇāma；『此能变复有三种』玄奘定译）	2	他空中观品四校订本｜人工校正
སུམ་ཅུ་པ	《（唯识）三十颂》（世亲 Triṃśikā）	2	他空中观品四校订本｜人工校正
རྣམ་ཤེས་དྲུག	六识·六转识（了别境之六识）	2	他空中观品四校订本｜人工校正
རྣམ་སྨིན་གྱི་ཆ	异熟分（习气种子已成熟现果之分；非指已熟静止者，参句法§15）	3	他空中观品四校订本｜人工校正
ས་བོན་གྱི་ཆ	种子分（能生后后自果之潜功能·未熟者）	3	他空中观品四校订本｜人工校正
འཇིག་ཚོགས་ལ་ལྟ་བ	萨迦耶见·有身见（坏聚见；缘五蕴执我）	3	他空中观品四校订本｜人工校正
འཇུག་པའི་རྣམ་ཤེས	转识（现行了别之识；六转识/七转识 འཇུག་ཤེས་དྲུག/བདུན）	2	他空中观品四校订本｜人工校正
འཇུག་ཤེས	转识（＝འཇུག་པའི་རྣམ་ཤེས；现行识·对『阿赖耶』）	3	他空中观品四校订本｜人工校正
སྣོད་བཅུད	器情（器世间 སྣོད 与有情 བཅུད）	3	他空中观品四校订本｜人工校正
ཆུ་བྲན	支流·细流（喻习气汇入阿赖耶大河）	2	他空中观品四校订本｜人工校正
རྟོག་མེད	无分别	3	他空中观品四校订本｜人工校正
རྟོག་བཅས	有分别	3	他空中观品四校订本｜人工校正
གསལ་རིག	明觉·明而证知（gsal rig；阿赖耶自体·亦通指觉了）	3	他空中观品四校订本｜人工校正
ཀུན་འགྲོ་ལྔ	五遍行（触·作意·受·想·思；恒与八识相应）	2	他空中观品四校订本｜人工校正
ཡུལ་ངེས་ལྔ	五别境（各别决定其境·不与阿赖耶俱）	2	他空中观品四校订本｜人工校正
ལེན་པའི་རྣམ་རིག	执受了别·取识（阿赖耶缘种子·有根身之了别）	2	他空中观品四校订本｜人工校正
གནས་ཀྱི་རྣམ་རིག	处了别（阿赖耶缘器世间显现之了别；处＝器世间）	2	他空中观品四校订本｜人工校正
ནང་གི་ལེན་པ	内执受（种子习气·阿赖耶所摄持）	2	他空中观品四校订本｜人工校正
གནས་ཀྱི་ལེན་པ	处执受（此疏依摄论判为末那『执阿赖耶为我之依处』；处≠器世间而＝我之依处）	2	他空中观品四校订本｜人工校正
བློ་བརྟན	安慧（Sthiramati；著《唯识三十颂释》）	2	他空中观品四校订本｜人工校正
ཐེག་བསྡུས	《摄大乘论》（Mahāyānasaṃgraha 无著）	2	他空中观品四校订本｜人工校正
མ་སྒྲིབ་ལུང་མ་བསྟན	无覆无记（不障解脱·但障一切智；阿赖耶属此）	2	他空中观品四校订本｜人工校正
མེ་ལོང་ལྟ་བུའི་ཡེ་ཤེས	大圆镜智（阿赖耶转依所成）	2	他空中观品四校订本｜人工校正
གནས་གྱུར	转依（gnas gyur；识体转成智）	2	他空中观品四校订本｜人工校正
བཏང་སྙོམས	舍（受）·平等舍（非苦非乐；阿赖耶唯舍受）	2	他空中观品四校订本｜人工校正
རེག་པ	触（五遍行之一；根境识三合·令识变异之分）	2	他空中观品四校订本｜人工校正
ཕྱིར་མི་འོང	不还果（阿那含·三果；其中有『身证灭尽』位）	2	他空中观品四校订本｜人工校正
ཆོས་མངོན་པའི་མདོ	《阿毗达磨经》（大乘·无著《摄大乘论》引其二颂证阿赖耶）	2	他空中观品四校订本｜人工校正
དགོངས་འགྲེལ	《解深密经》（Saṃdhinirmocana；说阿陀那识甚深细）	2	他空中观品四校订本｜人工校正
འཛིན་གཉིས	二取（执所取 བཟུང་འཛིན·前五识；执能取 འཛིན་འཛིན·意识）	2	他空中观品四校订本｜人工校正
ས་མཚམས	界限（断位·地界；某识于何位断/存之边界）	2	他空中观品四校订本｜人工校正
སྲེད་ཞེན	贪爱执著（sred zhen）	2	他空中观品四校订本｜人工校正
ལེན་པའི་རྣམ་ཤེས	阿陀那识·执受识（ādānavijñāna；阿赖耶异名·初取身中不离终舍身）	2	他空中观品四校订本｜人工校正
འདུ་ཤེས་མེད་པའི་སྙོམས་འཇུག	无想等至（因位等至；对『无想有情』生果位）	2	他空中观品四校订本｜人工校正
ལུས་ཀྱི་མངོན་དུ་བྱས་པ	身证（灭尽；不还果依身领受灭尽定寂静）	2	他空中观品四校订本｜人工校正
ཅི་ཡང་མེད	无所有处（无色界第三·四空处之一）	2	他空中观品四校订本｜人工校正
རྣམ་སྨིན་ཀུན་གཞི	异熟遍基·异熟阿赖耶（种子成熟位之阿赖耶）	2	他空中观品四校订本｜人工校正
